-84.349450 33.918819;-84.350240 33.918920
-84.348859 33.918810;-84.349450 33.918819
-84.348859 33.918810;-84.348569 33.918859
-84.348569 33.918859;-84.348090 33.919089
-84.348090 33.919089;-84.347890 33.919310
-84.376629 33.919050;-84.379000 33.919129
-84.379080 33.925129;-84.379119 33.926730
-84.367919 33.918980;-84.371639 33.919010
-84.367919 33.918980;-84.367520 33.918979
-84.364910 33.918999;-84.365720 33.918959
-84.364000 33.918989;-84.364910 33.918999
